1	0.0712	0.0719	1.5831	0.2349	0.0518	0.0386	
1.5	0.0591	0.0595	0.8468	0.1627	0.0429	0.0319	
2	0.0481	0.0483	0.4945	0.1153	0.0348	0.0259	
2.5	0.0405	0.0408	0.3569	0.0898	0.0294	0.0219	
4.5	0.0329	0.0331	0.1923	0.0653	0.0239	0.0178	
5	0.0317	0.0318	0.1715	0.0617	0.0229	0.0171	
5.5	0.0305	0.0306	0.1555	0.0584	0.0221	0.0164	
6	0.0293	0.0295	0.1420	0.0551	0.0212	0.0158	
6.5	0.0288	0.0290	0.1333	0.0534	0.0209	0.0155	
7	0.0278	0.0280	0.1244	0.0510	0.0202	0.0150	
7.5	0.0274	0.0276	0.1179	0.0498	0.0199	0.0148	
8	0.0262	0.0263	0.1100	0.0470	0.0190	0.0141	
8.5	0.0247	0.0248	0.1017	0.0437	0.0179	0.0133	
11.5	0.0240	0.0240	0.0884	0.0409	0.0173	0.0129	
12	0.0258	0.0259	0.0925	0.0442	0.0187	0.0139	
12.5	0.0271	0.0272	0.0951	0.0465	0.0196	0.0146	
13	0.0278	0.0278	0.0958	0.0474	0.0201	0.0149	
13.5	0.0279	0.0281	0.0954	0.0475	0.0202	0.0151	
14	0.0280	0.0282	0.0947	0.0474	0.0203	0.0151	
14.5	0.0281	0.0283	0.0940	0.0475	0.0204	0.0152	
15	0.0285	0.0286	0.0941	0.0479	0.0206	0.0153	
